,DCU,Maynooth U,TU Dublin,Letterkeny,National College of Ireland,TCD,AIT,Dundalk,Waterford,Cork IT,DIT,Blanchardstown,Carlow IT,Galway Mayo,Tallaght,National College of Art & Design,IADT,LIT,UL,Sligo,NUIG,Mary Immaculate College,Total sitting Leaving Cert,Year,Total of main colleges,School,Roll Number
0,0.0,7.0,5.0,5.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,15.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,1.0,64.0,2013,60.0,jesus-&-mary-secondary-school,64630T
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2013,5.0,scoil-damhnait,64490G
0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,11.0,1.0,1.0,1.0,2.0,10.0,6.0,0.0,1.0,73.0,2013,53.0,rice-college,64700O
0,0.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,10.0,1.0,0.0,1.0,3.0,4.0,4.0,0.0,1.0,57.0,2013,49.0,st-muredachs-college,64510J
0,0.0,2.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0,59.0,2013,47.0,scoil-muire-agus-padraig,64690O
0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,39.0,2013,28.0,sancta-maria-college,64660F
0,0.0,4.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,27.0,2013,29.0,our-ladys-secondary-school,64570E
0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,10.0,0.0,1.0,1.0,1.0,2.0,11.0,0.0,2.0,92.0,2013,57.0,st-josephs-secondary-school,64640W
0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,13.0,2013,7.0,moyne-college,72020L
0,0.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,0.0,2.0,7.0,0.0,1.0,1.0,1.0,14.0,6.0,0.0,6.0,84.0,2013,72.0,mount-st-michael,64620Q
0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,1.0,32.0,2013,18.0,st.-patricks-college,72130S
